10180                   Abilene, TX Metropolitan Statistical Area
16980                   Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area
17020                   Chico, CA Metropolitan Statistical Area
17140                   Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area
17300                   Clarksville, TN-KY Metropolitan Statistical Area
17420                   Cleveland, TN Metropolitan Statistical Area
17460                   Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area
17660                   Coeur d'Alene, ID Metropolitan Statistical Area
17780                   College Station-Bryan, TX Metropolitan Statistical Area
17820                   Colorado Springs, CO Metropolitan Statistical Area
17860                   Columbia, MO Metropolitan Statistical Area
17900                   Columbia, SC Metropolitan Statistical Area
17980                   Columbus, GA-AL Metropolitan Statistical Area
18020                   Columbus, IN Metropolitan Statistical Area
18140                   Columbus, OH Metropolitan Statistical Area
18580                   Corpus Christi, TX Metropolitan Statistical Area
18700                   Corvallis, OR Metropolitan Statistical Area
19060                   Cumberland, MD-WV Metropolitan Statistical Area
19100                   Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area
19140                   Dalton, GA Metropolitan Statistical Area
19180                   Danville, IL Metropolitan Statistical Area
19260                   Danville, VA Metropolitan Statistical Area
19340                   Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area
19380                   Dayton, OH Metropolitan Statistical Area
19460                   Decatur, AL Metropolitan Statistical Area
19500                   Decatur, IL Metropolitan Statistical Area
19660                   Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area
19740                   Denver-Aurora, CO Metropolitan Statistical Area
19780                   Des Moines, IA Metropolitan Statistical Area
19820                   Detroit-Warren-Livonia, MI Metropolitan Statistical Area
20020                   Dothan, AL Metropolitan Statistical Area
20100                   Dover, DE Metropolitan Statistical Area
20220                   Dubuque, IA Metropolitan Statistical Area
20260                   Duluth, MN-WI Metropolitan Statistical Area
20500                   Durham, NC Metropolitan Statistical Area
20740                   Eau Claire, WI Metropolitan Statistical Area
20940                   El Centro, CA Metropolitan Statistical Area
21060                   Elizabethtown, KY Metropolitan Statistical Area
21140                   Elkhart-Goshen, IN Metropolitan Statistical Area
21300                   Elmira, NY Metropolitan Statistical Area
21340                   El Paso, TX Metropolitan Statistical Area
21500                   Erie, PA Metropolitan Statistical Area
21660                   Eugene-Springfield, OR Metropolitan Statistical Area
21780                   Evansville, IN-KY Metropolitan Statistical Area
21820                   Fairbanks, AK Metropolitan Statistical Area
21940                   Fajardo, PR Metropolitan Statistical Area
22020                   Fargo, ND-MN Metropolitan Statistical Area
22140                   Farmington, NM Metropolitan Statistical Area
22180                   Fayetteville, NC Metropolitan Statistical Area
22220                   Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area
22380                   Flagstaff, AZ Metropolitan Statistical Area
22420                   Flint, MI Metropolitan Statistical Area
22500                   Florence, SC Metropolitan Statistical Area
22520                   Florence-Muscle Shoals, AL Metropolitan Statistical Area
22540                   Fond du Lac, WI Metropolitan Statistical Area
22660                   Fort Collins-Loveland, CO Metropolitan Statistical Area
22900                   Fort Smith, AR-OK Metropolitan Statistical Area
23020                   Fort Walton Beach-Crestview-Destin, FL Metropolitan Statistical Area
23060                   Fort Wayne, IN Metropolitan Statistical Area
23420                   Fresno, CA Metropolitan Statistical Area
23460                   Gadsden, AL Metropolitan Statistical Area
23540                   Gainesville, FL Metropolitan Statistical Area
23580                   Gainesville, GA Metropolitan Statistical Area
24020                   Glens Falls, NY Metropolitan Statistical Area
24140                   Goldsboro, NC Metropolitan Statistical Area
24220                   Grand Forks, ND-MN Metropolitan Statistical Area
24300                   Grand Junction, CO Metropolitan Statistical Area
24340                   Grand Rapids-Wyoming, MI Metropolitan Statistical Area
24500                   Great Falls, MT Metropolitan Statistical Area
24540                   Greeley, CO Metropolitan Statistical Area
24580                   Green Bay, WI Metropolitan Statistical Area
24660                   Greensboro-High Point, NC Metropolitan Statistical Area
24780                   Greenville, NC Metropolitan Statistical Area
24860                   Greenville, SC Metropolitan Statistical Area
25020                   Guayama, PR Metropolitan Statistical Area
25060                   Gulfport-Biloxi, MS Metropolitan Statistical Area
25180                   Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area
25260                   Hanford-Corcoran, CA Metropolitan Statistical Area
25420                   Harrisburg-Carlisle, PA Metropolitan Statistical Area
25500                   Harrisonburg, VA Metropolitan Statistical Area
25540                   Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area
25620                   Hattiesburg, MS Metropolitan Statistical Area
25860                   Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area
25980                   Hinesville-Fort Stewart, GA Metropolitan Statistical Area
26100                   Holland-Grand Haven, MI Metropolitan Statistical Area
26180                   Honolulu, HI Metropolitan Statistical Area
26300                   Hot Springs, AR Metropolitan Statistical Area
26380                   Houma-Bayou Cane-Thibodaux, LA Metropolitan Statistical Area
26420                   Houston-Baytown-Sugar Land, TX Metropolitan Statistical Area
26580                   Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area
26620                   Huntsville, AL Metropolitan Statistical Area
26820                   Idaho Falls, ID Metropolitan Statistical Area
26900                   Indianapolis, IN Metropolitan Statistical Area
26980                   Iowa City, IA Metropolitan Statistical Area
27060                   Ithaca, NY Metropolitan Statistical Area
27100                   Jackson, MI Metropolitan Statistical Area
27140                   Jackson, MS Metropolitan Statistical Area
27180                   Jackson, TN Metropolitan Statistical Area
27260                   Jacksonville, FL Metropolitan Statistical Area
27340                   Jacksonville, NC Metropolitan Statistical Area
27500                   Janesville, WI Metropolitan Statistical Area
27620                   Jefferson City, MO Metropolitan Statistical Area
27740                   Johnson City, TN Metropolitan Statistical Area
27780                   Johnstown, PA Metropolitan Statistical Area
27860                   Jonesboro, AR Metropolitan Statistical Area
27900                   Joplin, MO Metropolitan Statistical Area
28020                   Kalamazoo-Portage, MI Metropolitan Statistical Area
28100                   Kankakee-Bradley, IL Metropolitan Statistical Area
28140                   Kansas City, MO-KS Metropolitan Statistical Area
28420                   Kennewick-Richland-Pasco, WA Metropolitan Statistical Area
28660                   Killeen-Temple-Fort Hood, TX Metropolitan Statistical Area
28700                   Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area
28740                   Kingston, NY Metropolitan Statistical Area
28940                   Knoxville, TN Metropolitan Statistical Area
29020                   Kokomo, IN Metropolitan Statistical Area
29100                   La Crosse, WI-MN Metropolitan Statistical Area
29140                   Lafayette, IN Metropolitan Statistical Area
29180                   Lafayette, LA Metropolitan Statistical Area
29340                   Lake Charles, LA Metropolitan Statistical Area
29460                   Lakeland, FL Metropolitan Statistical Area
29540                   Lancaster, PA Metropolitan Statistical Area
29620                   Lansing-East Lansing, MI Metropolitan Statistical Area
29700                   Laredo, TX Metropolitan Statistical Area
29740                   Las Cruces, NM Metropolitan Statistical Area
29820                   Las Vegas-Paradise, NV Metropolitan Statistical Area
29940                   Lawrence, KS Metropolitan Statistical Area
30020                   Lawton, OK Metropolitan Statistical Area
30140                   Lebanon, PA Metropolitan Statistical Area
30300                   Lewiston, ID-WA Metropolitan Statistical Area
30340                   Lewiston-Auburn, ME Metropolitan Statistical Area
30460                   Lexington-Fayette, KY Metropolitan Statistical Area
30620                   Lima, OH Metropolitan Statistical Area
30700                   Lincoln, NE Metropolitan Statistical Area
30780                   Little Rock-North Little Rock, AR Metropolitan Statistical Area
30860                   Logan, UT-ID Metropolitan Statistical Area
30980                   Longview, TX Metropolitan Statistical Area
31020                   Longview, WA Metropolitan Statistical Area
31100                   Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area
31140                   Louisville, KY-IN Metropolitan Statistical Area
31180                   Lubbock, TX Metropolitan Statistical Area
31340                   Lynchburg, VA Metropolitan Statistical Area
31420                   Macon, GA Metropolitan Statistical Area
31460                   Madera, CA Metropolitan Statistical Area
31540                   Madison, WI Metropolitan Statistical Area
31700                   Manchester-Nashua, NH Metropolitan Statistical Area
31900                   Mansfield, OH Metropolitan Statistical Area
32420                   Mayagüez, PR Metropolitan Statistical Area
32580                   McAllen-Edinburg-Pharr, TX Metropolitan Statistical Area
32780                   Medford, OR Metropolitan Statistical Area
32820                   Memphis, TN-MS-AR Metropolitan Statistical Area
32900                   Merced, CA Metropolitan Statistical Area
33100                   Miami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical Area
33140                   Michigan City-La Porte, IN Metropolitan Statistical Area
33260                   Midland, TX Metropolitan Statistical Area
33340                   Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area
33460                   Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area
33540                   Missoula, MT Metropolitan Statistical Area
33660                   Mobile, AL Metropolitan Statistical Area
33700                   Modesto, CA Metropolitan Statistical Area
33740                   Monroe, LA Metropolitan Statistical Area
33780                   Monroe, MI Metropolitan Statistical Area
33860                   Montgomery, AL Metropolitan Statistical Area
34060                   Morgantown, WV Metropolitan Statistical Area
34100                   Morristown, TN Metropolitan Statistical Area
34580                   Mount Vernon-Anacortes, WA Metropolitan Statistical Area
34620                   Muncie, IN Metropolitan Statistical Area
34740                   Muskegon-Norton Shores, MI Metropolitan Statistical Area
34820                   Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area
34900                   Napa, CA Metropolitan Statistical Area
34940                   Naples-Marco Island, FL Metropolitan Statistical Area
34980                   Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area
35300                   New Haven-Milford, CT Metropolitan Statistical Area
35380                   New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area
35620                   New York-Northern New Jersey-Long Island, NY-NJ-PA Metropolitan Statistical Area
35660                   Niles-Benton Harbor, MI Metropolitan Statistical Area
35980                   Norwich-New London, CT Metropolitan Statistical Area
36100                   Ocala, FL Metropolitan Statistical Area
36140                   Ocean City, NJ Metropolitan Statistical Area
36220                   Odessa, TX Metropolitan Statistical Area
36260                   Ogden-Clearfield, UT Metropolitan Statistical Area
36420                   Oklahoma City, OK Metropolitan Statistical Area
36500                   Olympia, WA Metropolitan Statistical Area
36540                   Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area
36740                   Orlando, FL Metropolitan Statistical Area
36780                   Oshkosh-Neenah, WI Metropolitan Statistical Area
36980                   Owensboro, KY Metropolitan Statistical Area
37100                   Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area
37340                   Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area
37460                   Panama City-Lynn Haven, FL Metropolitan Statistical Area
37620                   Parkersburg-Marietta, WV-OH Metropolitan Statistical Area
37700                   Pascagoula, MS Metropolitan Statistical Area
37860                   Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area
37900                   Peoria, IL Metropolitan Statistical Area
37980                   Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area
38060                   Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area
38220                   Pine Bluff, AR Metropolitan Statistical Area
38300                   Pittsburgh, PA Metropolitan Statistical Area
38340                   Pittsfield, MA Metropolitan Statistical Area
38540                   Pocatello, ID Metropolitan Statistical Area
38660                   Ponce, PR Metropolitan Statistical Area
38860                   Portland-South Portland-Biddeford, ME Metropolitan Statistical Area
38900                   Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area
38940                   Port St. Lucie-Fort Pierce, FL Metropolitan Statistical Area
39100                   Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area
39140                   Prescott, AZ Metropolitan Statistical Area
39300                   Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area
39340                   Provo-Orem, UT Metropolitan Statistical Area
39380                   Pueblo, CO Metropolitan Statistical Area
39460                   Punta Gorda, FL Metropolitan Statistical Area
39540                   Racine, WI Metropolitan Statistical Area
39580                   Raleigh-Cary, NC Metropolitan Statistical Area
39660                   Rapid City, SD Metropolitan Statistical Area
39740                   Reading, PA Metropolitan Statistical Area
39820                   Redding, CA Metropolitan Statistical Area
39900                   Reno-Sparks, NV Metropolitan Statistical Area
40060                   Richmond, VA Metropolitan Statistical Area
40140                   Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area
40220                   Roanoke, VA Metropolitan Statistical Area
40340                   Rochester, MN Metropolitan Statistical Area
40380                   Rochester, NY Metropolitan Statistical Area
40420                   Rockford, IL Metropolitan Statistical Area
40580                   Rocky Mount, NC Metropolitan Statistical Area
40660                   Rome, GA Metropolitan Statistical Area
40900                   Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area
40980                   Saginaw-Saginaw Township North, MI Metropolitan Statistical Area
41060                   St. Cloud, MN Metropolitan Statistical Area
41100                   St. George, UT Metropolitan Statistical Area
41140                   St. Joseph, MO-KS Metropolitan Statistical Area
41180                   St. Louis, MO-IL Metropolitan Statistical Area
41420                   Salem, OR Metropolitan Statistical Area
41500                   Salinas, CA Metropolitan Statistical Area
41540                   Salisbury, MD Metropolitan Statistical Area
41620                   Salt Lake City, UT Metropolitan Statistical Area
41660                   San Angelo, TX Metropolitan Statistical Area
41700                   San Antonio, TX Metropolitan Statistical Area
41740                   San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area
41780                   Sandusky, OH Metropolitan Statistical Area
41860                   San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area
41900                   San Germán-Cabo Rojo, PR Metropolitan Statistical Area
41940                   San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
41980                   San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area
42020                   San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area
42060                   Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area
42100                   Santa Cruz-Watsonville, CA Metropolitan Statistical Area
42140                   Santa Fe, NM Metropolitan Statistical Area
42220                   Santa Rosa-Petaluma, CA Metropolitan Statistical Area
42260                   Sarasota-Bradenton-Venice, FL Metropolitan Statistical Area
42340                   Savannah, GA Metropolitan Statistical Area
42540                   Scranton--Wilkes-Barre, PA Metropolitan Statistical Area
42660                   Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
43100                   Sheboygan, WI Metropolitan Statistical Area
43300                   Sherman-Denison, TX Metropolitan Statistical Area
43340                   Shreveport-Bossier City, LA Metropolitan Statistical Area
43580                   Sioux City, IA-NE-SD Metropolitan Statistical Area
43620                   Sioux Falls, SD Metropolitan Statistical Area
43780                   South Bend-Mishawaka, IN-MI Metropolitan Statistical Area
43900                   Spartanburg, SC Metropolitan Statistical Area
44060                   Spokane, WA Metropolitan Statistical Area
44100                   Springfield, IL Metropolitan Statistical Area
44140                   Springfield, MA Metropolitan Statistical Area
44180                   Springfield, MO Metropolitan Statistical Area
44220                   Springfield, OH Metropolitan Statistical Area
44300                   State College, PA Metropolitan Statistical Area
44700                   Stockton, CA Metropolitan Statistical Area
44940                   Sumter, SC Metropolitan Statistical Area
45060                   Syracuse, NY Metropolitan Statistical Area
45220                   Tallahassee, FL Metropolitan Statistical Area
45300                   Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
45460                   Terre Haute, IN Metropolitan Statistical Area
45500                   Texarkana, TX-Texarkana, AR Metropolitan Statistical Area
45780                   Toledo, OH Metropolitan Statistical Area
45820                   Topeka, KS Metropolitan Statistical Area
45940                   Trenton-Ewing, NJ Metropolitan Statistical Area
46060                   Tucson, AZ Metropolitan Statistical Area
46140                   Tulsa, OK Metropolitan Statistical Area
46220                   Tuscaloosa, AL Metropolitan Statistical Area
46340                   Tyler, TX Metropolitan Statistical Area
46540                   Utica-Rome, NY Metropolitan Statistical Area
46660                   Valdosta, GA Metropolitan Statistical Area
46700                   Vallejo-Fairfield, CA Metropolitan Statistical Area
46940                   Vero Beach, FL Metropolitan Statistical Area
47020                   Victoria, TX Metropolitan Statistical Area
47220                   Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area
47260                   Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
47300                   Visalia-Porterville, CA Metropolitan Statistical Area
47380                   Waco, TX Metropolitan Statistical Area
47580                   Warner Robins, GA Metropolitan Statistical Area
47900                   Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
47940                   Waterloo-Cedar Falls, IA Metropolitan Statistical Area
48140                   Wausau, WI Metropolitan Statistical Area
48260                   Weirton-Steubenville, WV-OH Metropolitan Statistical Area
48300                   Wenatchee, WA Metropolitan Statistical Area
48540                   Wheeling, WV-OH Metropolitan Statistical Area
48620                   Wichita, KS Metropolitan Statistical Area
48660                   Wichita Falls, TX Metropolitan Statistical Area
48700                   Williamsport, PA Metropolitan Statistical Area
48900                   Wilmington, NC Metropolitan Statistical Area
49020                   Winchester, VA-WV Metropolitan Statistical Area
49180                   Winston-Salem, NC Metropolitan Statistical Area
49340                   Worcester, MA Metropolitan Statistical Area
49420                   Yakima, WA Metropolitan Statistical Area
49500                   Yauco, PR Metropolitan Statistical Area
49620                   York-Hanover, PA Metropolitan Statistical Area
49660                   Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area
49700                   Yuba City, CA Metropolitan Statistical Area
49740                   Yuma, AZ Metropolitan Statistical Area
